Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,93,0.0,00:00,,,,0.00,,,
,00:00:01,93,0.0,00:00,,,,0.00,,,
,00:00:02,94,0.0,00:00,,,,0.00,,,
,00:00:03,95,0.0,00:00,,,,0.00,,,
,00:00:04,95,0.0,00:00,,,,0.00,,,
,00:00:05,96,0.0,00:00,,,,0.00,,,
,00:00:06,95,0.7,87:35,,,,0.00,,,
,00:00:07,94,0.7,87:35,,,,0.00,,,
,00:00:08,92,0.7,87:35,,,,0.00,,,
,00:00:09,92,0.7,87:35,,,,0.00,,,
,00:00:10,92,0.7,87:35,,,,0.00,,,
,00:00:11,92,0.7,87:35,,,,0.00,,,
,00:00:12,92,0.7,87:35,,,,0.00,,,
,00:00:13,92,0.7,87:35,,,,0.00,,,
,00:00:14,92,0.7,87:35,,,,0.00,,,
,00:00:15,91,0.7,87:35,,,,0.00,,,
,00:00:16,90,0.7,87:35,,,,0.00,,,
,00:00:17,89,0.7,87:35,,,,0.00,,,
,00:00:18,88,0.7,87:35,,,,0.00,,,
,00:00:19,88,0.0,00:00,,,,0.19,,,
,00:00:20,88,0.0,00:00,,,,0.38,,,
,00:00:21,88,0.0,00:00,,,,0.57,,,
,00:00:22,88,0.0,00:00,,,,0.76,,,
,00:00:23,87,0.0,00:00,,,,0.95,,,
,00:00:24,87,0.0,00:00,,,,1.14,,,
,00:00:25,87,0.0,00:00,,,,1.33,,,
,00:00:26,88,0.0,00:00,,,,1.52,,,
,00:00:27,88,0.0,00:00,,,,1.71,,,
,00:00:28,88,0.0,00:00,,,,1.90,,,
,00:00:29,85,0.0,00:00,,,,2.09,,,
,00:00:30,85,0.0,00:00,,,,2.28,,,
,00:00:31,84,0.0,00:00,,,,2.47,,,
,00:00:32,84,0.0,00:00,,,,2.66,,,
,00:00:33,85,0.0,00:00,,,,2.85,,,
,00:00:34,87,0.1,00:00,,,,3.04,,,
,00:00:35,90,0.1,00:00,,,,3.24,,,
,00:00:36,91,0.1,00:00,,,,3.43,,,
,00:00:37,92,0.1,00:00,,,,3.62,,,
,00:00:38,93,0.1,00:00,,,,3.81,,,
,00:00:39,94,0.1,00:00,,,,4.00,,,